iter	RMSE
0	13.8852094
1	12.98172602
2	12.1713336
3	11.47712731
4	10.78101434
5	10.28548868
6	9.768670109
7	9.346440517
8	8.951531903
9	8.537025039
10	8.178588074
11	7.877093397
12	7.621407173
13	7.392432378
14	7.16318941
15	6.939484794
16	6.762843305
17	6.604808247
18	6.459408024
19	6.335584052
20	6.227766198
21	6.139398798
22	6.047940382
23	5.963201088
24	5.891945178
25	5.831307295
26	5.7603049
27	5.712166196
28	5.670057572
29	5.622105163
30	5.58310106
31	5.533010782
32	5.494555881
33	5.460282836
34	5.424200164
35	5.391534723
36	5.37115895
37	5.349701272
38	5.331525061
39	5.310108521
40	5.293656997
41	5.277985903
42	5.257366966
43	5.242044148
44	5.229461626
45	5.214507506
46	5.194083257
47	5.182616658
48	5.164556321
49	5.140237829
50	5.13542039
51	5.127810957
52	5.106405248
53	5.101336238
54	5.092264042
55	5.077785434
56	5.065900262
57	5.054108816
58	5.032921496
59	5.026273091
60	5.018613707
61	5.004540037
62	4.999454771
63	4.993047823
64	4.968887305
65	4.958522807
66	4.945960469
67	4.936401793
68	4.927969698
69	4.91898798
70	4.906843966
71	4.902204447
72	4.892946646
73	4.883194995
74	4.873937088
75	4.867965388
76	4.863746389
77	4.848207476
78	4.841871255
79	4.830190894
80	4.821934988
81	4.8078372
82	4.799068285
83	4.792759394
84	4.781898237
85	4.775187601
86	4.767647636
87	4.753155239
88	4.740155583
89	4.730736341
90	4.723916296
91	4.71171513
92	4.706100461
93	4.69776848
94	4.693015122
95	4.686884113
96	4.677232709
97	4.671469226
98	4.651272654
99	4.649092137
