iter	Passed	Remaining
0	1	109
1	2	110
2	3	103
3	4	98
4	6	124
5	7	117
6	8	113
7	9	109
8	12	129
9	13	122
10	14	117
11	15	112
12	16	107
13	16	104
14	17	101
15	18	98
16	22	107
17	23	105
18	23	101
19	25	101
20	27	103
21	28	101
22	29	98
23	30	95
24	30	92
25	31	89
26	32	87
27	33	85
28	35	86
29	36	86
30	37	84
31	38	82
32	39	80
33	42	82
34	44	81
35	44	79
36	45	77
37	46	75
38	47	73
39	47	71
40	50	72
41	51	71
42	52	69
43	53	68
44	56	68
45	57	67
46	58	65
47	58	63
48	59	62
49	60	60
50	61	58
51	61	57
52	63	55
53	65	55
54	66	54
55	67	52
56	67	51
57	70	51
58	72	50
59	72	48
60	73	46
61	74	45
62	74	44
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	83	34
71	85	33
72	86	31
73	86	30
74	87	29
75	88	27
76	88	26
77	89	25
78	90	24
79	91	22
80	91	21
81	94	20
82	95	19
83	95	18
84	97	17
85	99	16
86	100	15
87	101	13
88	101	12
89	102	11
90	103	10
91	104	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	113	0
