iter	Passed	Remaining
0	132	131928
1	133	66472
2	133	44490
3	134	33523
4	135	26949
5	136	22549
6	137	19529
7	138	17235
8	139	15413
9	140	13944
10	141	12754
11	142	11768
12	143	10931
13	145	10213
14	146	9599
15	147	9078
16	150	8720
17	152	8301
18	153	7911
19	154	7562
20	155	7257
21	156	6963
22	157	6690
23	158	6442
24	159	6218
25	160	6009
26	161	5813
27	164	5710
28	165	5549
29	166	5392
30	167	5248
31	168	5110
32	169	4978
33	171	4862
34	172	4743
35	172	4630
36	173	4524
37	174	4422
38	175	4328
39	178	4281
40	179	4198
41	180	4117
42	181	4035
43	182	3958
44	182	3883
45	183	3812
46	184	3748
47	185	3682
48	186	3617
49	187	3566
50	188	3509
51	191	3485
52	192	3445
53	193	3396
54	194	3343
55	195	3293
56	196	3245
57	196	3198
58	197	3154
59	198	3110
60	199	3067
61	200	3036
62	201	3000
63	202	2963
64	204	2938
65	205	2914
66	206	2880
67	207	2845
68	209	2822
69	210	2790
70	210	2758
71	211	2725
72	212	2694
73	212	2664
74	213	2637
75	214	2610
76	215	2584
77	216	2557
78	217	2532
79	217	2505
80	220	2498
81	221	2477
82	222	2456
83	223	2436
84	224	2411
85	224	2388
86	225	2365
87	226	2344
88	226	2322
89	227	2300
90	228	2280
91	228	2259
92	229	2239
93	230	2220
94	231	2201
95	231	2183
96	232	2165
97	235	2169
98	237	2161
99	238	2144
100	239	2128
101	239	2111
102	240	2094
103	241	2078
104	241	2062
105	242	2046
106	243	2030
107	244	2015
108	244	2000
109	245	1986
110	246	1972
111	246	1957
112	247	1943
113	248	1929
114	251	1935
115	252	1926
116	254	1918
117	254	1905
118	256	1895
119	256	1883
120	257	1871
121	258	1859
122	259	1847
123	259	1835
124	260	1823
125	261	1811
126	261	1800
127	262	1788
128	263	1778
129	265	1774
130	265	1763
131	266	1752
132	267	1742
133	267	1731
134	268	1721
135	269	1711
136	270	1701
137	270	1692
138	271	1682
139	272	1672
140	272	1662
141	273	1653
142	274	1643
143	274	1633
144	275	1624
145	276	1615
146	279	1621
147	280	1615
148	281	1606
149	282	1598
150	282	1589
151	283	1581
152	284	1572
153	284	1564
154	285	1556
155	286	1547
156	286	1539
157	287	1531
158	288	1525
159	288	1516
160	289	1508
161	290	1500
162	290	1492
163	291	1484
164	292	1477
165	292	1469
166	293	1461
167	293	1455
168	294	1448
169	295	1440
170	295	1433
171	296	1426
172	296	1418
